,source,target,value
2,germany,italy,28
8,germany,poland,28
27,germany,japan,26
1,germany,russia,22
7,france,germany,19
39,india,pakistan,18
25,egypt,libya,17
28,japan,russia,16
6,france,poland,15
0,france,russia,12
37,india,japan,12
41,israel,south africa,12
3,austria,germany,11
66,united states,vietnam,11
43,iran,libya,11
36,japan,solomon islands,11
61,cuba,vietnam,9
65,cambodia,vietnam,8
22,france,italy,7
10,estonia,latvia,6
12,lithuania,poland,6
74,afghanistan,pakistan,6
75,romania,russia,6
72,italy,japan,6
11,latvia,lithuania,6
13,finland,poland,6
19,belgium,netherlands,6
18,belgium,germany,6
20,luxembourg,netherlands,6
40,israel,pakistan,6
38,france,india,6
42,israel,libya,6
34,singapore,thailand,6
33,japan,thailand,6
30,algeria,morocco,6
58,hungary,romania,6
60,cuba,mongolia,6
49,ghana,kenya,6
48,cambodia,kenya,6
47,cambodia,laos,6
52,estonia,lithuania,6
46,laos,pakistan,6
14,finland,germany,6
15,denmark,poland,6
16,denmark,norway,6
56,bulgaria,poland,6
51,estonia,poland,6
55,albania,bulgaria,6
57,poland,romania,6
63,australia,canada,6
53,finland,lithuania,6
9,estonia,germany,5
70,rwanda,south africa,5
68,russia,united states,5
17,germany,norway,5
21,france,luxembourg,5
54,albania,finland,5
76,india,singapore,5
26,egypt,iraq,5
31,algeria,italy,5
35,japan,singapore,5
59,hungary,mongolia,5
67,cuba,united states,5
71,finland,russia,4
4,germany,spain,4
23,albania,ukraine,4
45,france,japan,4
62,canada,vietnam,4
44,germany,iran,4
64,australia,vietnam,4
73,iran,united states,3
24,libya,ukraine,3
32,france,netherlands,3
5,france,spain,2
29,italy,morocco,2
50,ghana,poland,1
69,india,south africa,1
